title,body,ticket_type,category,sub_category1,sub_category2,business_service,urgency,impact,cleaned_description
request to install tomcat server environment,february install tomcat hello while more than assist task daresay falls under furthermore require code please kind log queue perhaps provide said code believe code thanks great ahead engineer re install tomcat hi ago did install tomcat environment done install same environment order complete continues process test environment root thrifty thank design lead wednesday february re install tomcat tomcat lo design lead friday december install tomcat hello per installed apache tomcat path install location opt apache tomcat shutdown script process side note please informed moment apache configured run process via sh script having mind trouble experienced mode chose initially avoid tomcat require configured user created please let assist thanks kindest regards engineer install tomcat hello agreed during chat over take over proceed install apache tomcat version agreed estimate commence works around back take snapshot prior changes given out installation impact feel free notify anyone concerned involved these works kindly reminded since aid provided within strict immediate fix certainly endeavour handle best abilities allocated billed under code please confirmation respect additional details concerns questions related matter hesitate thanks kindest regards engineer december pm install tomcat hi part going perform order change tomcat process simplify deploy process help process way asking install tomcat information tomcat version thank design lead,1,Billing,22,7,63,3,4,february install tomcat hello assist task daresay fall furthermore require code please kind log queue perhaps provide said code believe code thanks great ahead engineer install tomcat hi ago install tomcat environment done install environment order complete continues process test environment root thrifty thank design lead wednesday february install tomcat tomcat lo design lead friday december install tomcat hello per installed apache tomcat path install location opt apache tomcat shutdown script process side note please informed moment apache configured run process via sh script mind trouble experienced mode chose initially avoid tomcat require configured user created please let assist thanks kindest regard engineer install tomcat hello agreed chat take proceed install apache tomcat version agreed estimate commence work around back take snapshot prior change given installation impact feel free notify anyone concerned involved work kindly reminded since aid provided within strict immediate fix certainly endeavour handle best ability allocated billed code please confirmation respect additional detail concern question related matter hesitate thanks kindest regard engineer december pm install tomcat hi part going perform order change tomcat process simplify deploy process help process way asking install tomcat information tomcat version thank design lead
live user for,user hi client requires colleague his please provide user kind regards developer thursday user created issue points user issue type points points assignee created environment priority high high reporter colleague also needs provide her user id her add comment add comment by logo,1,Technical,2,7,51,3,4,user hi client requires colleague please provide user kind regard developer thursday user created issue point user issue type point point assignee created environment priority high high reporter colleague also need provide user id add comment add comment logo
oracle fusion mobile app,fusion mobile app hi having trouble logging into fusion app app asking for following host name password please could you advise what fill name password one thanks manager,0,Login,21,1,66,1,3,fusion mobile app hi trouble logging fusion app app asking following host name password please could advise fill name password one thanks manager
,hello could we go for call resolve issue best regards engineer en hello sa care la va care ca se manager,0,Technical,21,1,46,2,3,hello could go call resolve issue best regard engineer en hello sa care la va care ca se manager
error messages,please check have received error massage form error failed delete file delete transaction access path personal delete transaction denied error exception failed delete file delete transaction access path personal delete transaction denied access path personal delete transaction denied error string file delete string path library file delete string library main remote end inner exception stack trace library main string object arguments library main boolean library main boolean library main interface list entries string boolean stat library main interface string sources task access path personal delete transaction denied error string file delete string path library file delete string library main remote cleanup output error exception failed delete file delete transaction access path personal delete transaction denied access path personal delete transaction denied error string file delete string path library file delete string library main remote end inner exception stack trace,0,Login,21,41,14,1,3,please check received error massage form error failed delete file delete transaction access path personal delete transaction denied error exception failed delete file delete transaction access path personal delete transaction denied access path personal delete transaction denied error string file delete string path library file delete string library main remote end inner exception stack trace library main string object argument library main boolean library main boolean library main interface list entry string boolean stat library main interface string source task access path personal delete transaction denied error string file delete string path library file delete string library main remote cleanup output error exception failed delete file delete transaction access path personal delete transaction denied access path personal delete transaction denied error string file delete string path library file delete string library main remote end inner exception stack trace
account locked,sent friday november laptop importance high hello password for laptop again blocked could you please help thank you regards leader,0,Login,51,11,4,1,3,sent friday november laptop importance high hello password laptop blocked could please help thank regard leader
accounts,accounts hi please help create accounts bellow thank tuesday pm graduates,1,Login,2,7,51,3,4,account hi please help create account bellow thank tuesday pm graduate
ticket request issue,ticket request issue dear please create ticket for for following issue cannot log tried with please attached kind regards manager,0,Technical,21,1,67,1,3,ticket request issue dear please create ticket following issue cannot log tried please attached kind regard manager
service now issue,sent monday december re for hello any updates could you please give reference for ticket thanks leader sent november for hello please be advised yesterday we found out we having problem with you might know we need go tickets we log regular basis we can update them needs be done every or days issue if we have incident assigned active if we access ticket exit afterwards ticket appears updated correct impacting because we able keep track tickets we updated when really updated only when testing we noticed does apply for tickets awaiting info status maybe help with solving issue best regards analyst,0,Login,21,0,56,1,3,sent monday december hello update could please give reference ticket thanks leader sent november hello please advised yesterday found problem might know need go ticket log regular basis update need done every day issue incident assigned active access ticket exit afterwards ticket appears updated correct impacting able keep track ticket updated really updated testing noticed apply ticket awaiting info status maybe help solving issue best regard analyst
unable to log to,re for hello again woks but still can guide link get wrong password message here esp portal here how can something help thanks,0,Login,51,11,56,2,3,hello wok still guide link get wrong password message esp portal something help thanks
oracle error while trying to extract the trial balance on secondary ledger,hi guys tried myself working gives some error could you please have look resolve thank you kind regards senior ledger accountant ext en sent error while trying extract trial balance secondary ledger hi extraction trial balance primary ledger works same exercise renders bellow error for secondary ledger thanks,0,Login,21,0,68,2,3,hi guy tried working give error could please look resolve thank kind regard senior ledger accountant ext en sent error trying extract trial balance secondary ledger hi extraction trial balance primary ledger work exercise render bellow error secondary ledger thanks
oracle refund employees for technology,refund employees good morning colleagues please help setting refund employees romanian entity setup has same refund expense type call tech refund length allows thanks lot lead,1,Billing,2,7,66,3,4,refund employee good morning colleague please help setting refund employee romanian entity setup refund expense type call tech refund length allows thanks lot lead
error,sent monday february error hi could you please log ticket for below assigned queue hi could you please assist with below thank you kind regards applications analyst en sent error print screen greetings,0,Technical,21,41,63,1,3,sent monday february error hi could please log ticket assigned queue hi could please assist thank kind regard application analyst en sent error print screen greeting
forgotten password der,sent tuesday march forgot password hi need reset password but forgot can you please help sent,0,Login,51,11,4,0,3,sent tuesday march forgot password hi need reset password forgot please help sent
password reset external users,friday july pm hi also passwords regards,1,Login,2,76,4,3,4,friday july pm hi also password regard
time cards error issue,sent friday re child care hi adding can help with errors error status remove absence code use anymore leave only leave thank you lead sent friday re child care hi problems highlighted attached regards senior tester en,0,Technical,21,41,67,1,3,sent friday child care hi adding help error error status remove absence code use anymore leave leave thank lead sent friday child care hi problem highlighted attached regard senior tester en
project to be closed pas,july closed hi please close phase costs were recognized other activity planned pm approved closure thank officer,1,Billing,3,0,72,3,4,july closed hi please close phase cost recognized activity planned pm approved closure thank officer
journal,journal hi please assign thank kind regards engineer re journal approve thanks friday pm re journal hi events charges thanks re journal approve please include both especially translation serbian thanks friday pm re journal please has approve update please her also keep thanks friday pm journal friday pm journal hi journal because mapping print screen please map thank regards officer,1,Billing,3,21,66,3,4,journal hi please assign thank kind regard engineer journal approve thanks friday pm journal hi event charge thanks journal approve please include especially translation serbian thanks friday pm journal please approve update please also keep thanks friday pm journal friday pm journal hi journal mapping print screen please map thank regard officer
laptop charger temporary replacement,thursday charger replacement hi guys accidentally left charger client site denmark during visit please help replacement thank,1,Billing,13,7,32,3,4,thursday charger replacement hi guy accidentally left charger client site denmark visit please help replacement thank
new project code request oracle,wednesday march pm codes hi please create based forms attached possible by tomorrow march cob disclaimer lot left unattended these codes which client events costs strictly commercial mandatory requirements issues please create absolutely filled suggestions considering none drop down values options fit purpose thank officer,1,Billing,3,7,68,3,4,wednesday march pm code hi please create based form attached possible tomorrow march cob disclaimer lot left unattended code client event cost strictly commercial mandatory requirement issue please create absolutely filled suggestion considering none drop value option fit purpose thank officer
device alert notification th floor printer original output part,device floor printer output part printer details gate error tray tray copier busy details tray gate error tray fax busy details gate error tray tray scanner busy details gate error model name device name floor comment host name name stateless stateless stateless stateless stateless print name file name name computer name share name device floor printer floor printer notified,1,Technical,3,0,74,3,4,device floor printer output part printer detail gate error tray tray copier busy detail tray gate error tray fax busy detail gate error tray tray scanner busy detail gate error model name device name floor comment host name name stateless stateless stateless stateless stateless print name file name name computer name share name device floor printer floor printer notified
new starter der frankfurt am main,wednesday pm starter form dear please assist completion enclosed please note hardware mobile thank,1,Technical,2,94,40,3,4,wednesday pm starter form dear please assist completion enclosed please note hardware mobile thank
new project code pas,tuesday pm code hello pursuing please attached form requesting code established track pre costs,1,Billing,3,7,70,3,4,tuesday pm code hello pursuing please attached form requesting code established track pre cost
new starter tower,wednesday july pm assistants starter dear please informed candidate has accepted job offer discipline senior developer se please keep mind he ex he opened accounts please make his credentials reactivated thank br specialist,1,Login,2,94,40,3,4,wednesday july pm assistant starter dear please informed candidate accepted job offer discipline senior developer se please keep mind ex opened account please make credential reactivated thank br specialist
issue at report time oracle fusion,thursday july issue report hello after filling report clicked save close button error displayed card cannot saved due error help notified please provide help thank developer,1,Technical,2,87,68,3,4,thursday july issue report hello filling report clicked save close button error displayed card cannot saved due error help notified please provide help thank developer
deactivate archive,wednesday pm closing dear started closure phase client kindly ask deactivate archive site client site close codes updated found thanks officer information confidential legally privileged intended solely addressee opinions expressed mine necessarily represent opinions susceptible interference intended recipient disclosure copying action taken omitted taken reliance strictly prohibited unlawful received error attachments please notify delete accepts responsibility information errors omissions misuse act committed omitted communication,1,Technical,3,87,39,3,4,wednesday pm closing dear started closure phase client kindly ask deactivate archive site client site close code updated found thanks officer information confidential legally privileged intended solely addressee opinion expressed mine necessarily represent opinion susceptible interference intended recipient disclosure copying action taken omitted taken reliance strictly prohibited unlawful received error attachment please notify delete accepts responsibility information error omission misuse act committed omitted communication
please perform back up for new live environment,friday july pm please perform back environment importance high dear please perform back environment database front today reason going deploy changes best regards senior software developer,1,Technical,3,0,46,3,4,friday july pm please perform back environment importance high dear please perform back environment database front today reason going deploy change best regard senior software developer
wrong surname,wrong surname hi we have candidate stared working she referral there error surname candidate we can change surname by our self before we move her hired wanted ask if there possibility surname be changed your side candidate right spelling her name surname should be available if you need additional information our side regards specialist,0,Technical,51,41,71,2,3,wrong surname hi candidate stared working referral error surname candidate change surname self move hired wanted ask possibility surname changed side candidate right spelling name surname available need additional information side regard specialist
lost access to a report,lost access report hi could you please raise ticket for below assign lost her access report employees permission should be checked restored if needed thank you best regards applications analyst en,0,Login,9,1,67,2,3,lost access report hi could please raise ticket assign lost access report employee permission checked restored needed thank best regard application analyst en
issue with,issue with hi getting error window each click filter board could you please help with best regards applications analyst en,0,Technical,21,41,51,2,3,issue hi getting error window click filter board could please help best regard application analyst en
pas access read only,tuesday hi please provide colleague her role accountant she needs order perform various tasks her thanks accountant,1,Login,2,21,70,3,4,tuesday hi please provide colleague role accountant need order perform various task thanks accountant
add to,thursday pm program certification hello received today which forwarding looks ordinary notifying best regards thursday pm program certification dear re doing well professional globally recognized certification issued by recognize skilled certification has clearly proved increase marketability efficiency credential holders consequently organizing certification training passionate handlers looking forward become certified professional optimize growth location days price bird price bird date view more details workshop benefits days intensive classroom training by experienced instructor certificate eligibility criteria by class learning content self study length simulation tests detailed analysis questions course completion certificate latest hard copy course material prepared by experience instructor sync edition post training lunch tea discount also available further clarification reach phone registered marks wish receive mails side,1,Billing,3,0,89,3,4,thursday pm program certification hello received today forwarding look ordinary notifying best regard thursday pm program certification dear well professional globally recognized certification issued recognize skilled certification clearly proved increase marketability efficiency credential holder consequently organizing certification training passionate handler looking forward become certified professional optimize growth location day price bird price bird date view detail workshop benefit day intensive classroom training experienced instructor certificate eligibility criterion class learning content self study length simulation test detailed analysis question course completion certificate latest hard copy course material prepared experience instructor sync edition post training lunch tea discount also available clarification reach phone registered mark wish receive mail side
referrals error,sent monday march referrals error hello we have recently encountered several cases where could be uploaded through referral tool even though were specified format have attached few examples error same can you please advise above thank you,0,Technical,21,41,71,1,3,sent monday march referral error hello recently encountered several case could uploaded referral tool even though specified format attached example error please advise thank
